name,pieces,price
Dog Sitter,,9
Pizza Costume Guy,,6
Galactic Bounty Hunter,,8
Gardener,,7
Rugby Player,,6
Fox Costume Girl,,8
Bear Costume Guy,,7
Mountain Biker,,10
LEGO Minifigures - Series 19 - Complete,,"$3.99, 3.99€ | "
LEGO Minifigures - Series 19 - Sealed Box,,
Disney Train and Station,2925,"$329.99, 329.99€ | "
Naboo Starfighter Microfighter,62,"$9.99, 9.99€ | "
Sith Infiltrator Microfighter,92,"$9.99, 9.99€ | "
Elite Praetorian Guard Battle Pack,109,"$14.99, 14.99€ | "
Inferno Squad Battle Pack,118,"$14.99, 14.99€ | "
Darth Vader Bust,327,$39.99 
Escape Pod vs. Dewback Microfighters,177,"$19.99, 19.99€ | "
Death Star Escape,329,"$29.99, 29.99€ | "
Kylo Ren & Sith Trooper,,240
Droid Gunship,389,"$49.99, 59.99€ | "
AT-AP Walker,689,"$59.99, 69.99€ | "
X-wing Starfighter Trench Run,132,"$29.99, 29.99€ | "
Duel on Starkiller Base,191,"$19.99, 19.99€ | "
TIE Fighter Attack,77,"$19.99, 19.99€ | "
Action Battle Endor Assault,193,"$29.99, 29.99€ | "
Hoth Generator Attack,235,"$29.99, 29.99€ | "
Major Vonreg's TIE Fighter,496,"$69.99, 69.99€ | "
Action Battle Echo Base Defence,504,"$59.99, 59.99€ | "
Black Ace TIE Interceptor,396,"$49.99, 49.99€ | "
Slave I – 20th Anniversary Edition,1007,"$119.99, 119.99€ | "
Tantive IV,1768,"$199.99, 199.99€ | "
Star Wars Advent Calendar,280,"$39.99, 29.99€ | "
{?},,
Rebel A-wing Starfighter,62,"$14.99, 14.99€ | "
{?},,
{?},,
{?},,
Darth Vader's Castle,1060,"$129.99, 129.99€ | "
Imperial Star Destroyer,16,4784
Droid Commander,1177,"$199.99, 199.99€ | "
{?},,
{?},,
{?},,
{?},,
Anakin's Podracer – 20th Anniversary Edition,279,"$29.99, 29.99€ | "
Snowspeeder – 20th Anniversary Edition,309,"$39.99, 39.99€ | "
Clone Scout Walker – 20th Anniversary Edition,250,"$29.99, 29.99€ | "
Imperial Dropship – 20th Anniversary Edition,125,"$19.99, 19.99€ | "
Mini Boost Droid Commander,62,
The Upside Down,2287,"$199.99, 199.99€ | "
Ferrari F40 Competizione,198,"$14.99, 14.99€ | "
Chevrolet Camaro ZL1 Race Car,198,"$14.99, 14.99€ | "
McLaren Senna,219,"$14.99, 14.99€ | "
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,478,"$29.99, 39.99€ | "
1967 Mini Cooper S Rally and 2018 MINI John Cooper Works Buggy,481,"$49.99, 49.99€ | "
1974 Porsche 911 Turbo 3.0,180,"$14.99, 14.99€ | "
Dilophosaurus on the Loose,168,"$19.99, 24.99€ | "
Baryonyx Face-Off: The Treasure Hunt,434,"$59.99, 59.99€ | "
Jurassic Park: T. rex Rampage,3120,"$249.99, 249.99€ | "
Triceratops Rampage,447,"$59.99, 59.99€ | "
T. rex vs Dino-Mech Battle,716,"$89.99, 89.99€ | "
Expecto Patronum,121,"$19.99, 19.99€ | "
